H713 CPU_COMM firmware routine table
====================================

Read live from the MIPS display firmware via /proc/cpu_comm/routines, with
the coprocessor alive (preboot `h713_disp init 0x34`) on 2026-08-30.

The table is the shared hash table at ShMemAddrBase + 30152: 1224 slots of
96 bytes, comp_id at +8, cpu_id at +2, a 32-byte name at +12 (hence the
truncated names), chain link at +92. comp_id is exactly the value a CALL
carries at msg+0x28 -- this is the name-to-number map for invoking anything.

100 entries: 82 named THal_Vp_* routines published by the firmware, plus 18
"(unnamed)" rows whose comp_id is a 0x8B10xxxx firmware KSEG address. Those
18 are OUR OWN registrations from cpu_comm_dev.c's mips_vp_ids[] -- a
different namespace, not firmware-published routines. They were previously
mistaken for "18 MIPS VP routes" available to call.

HAZARD, confirmed here by name: 0x0152f134 is THal_Vp_EnableScreenCover.
Calling it wedges CPU_COMM and hangs the SoC; physical power cycle only.

version 200, count 100
index  comp_id     cpu  next  name
  772  0x8b109f04    1     -1  (unnamed)
  782  0x4d80db0e    1     -1  THal_Vp_SetBacklightWorkMode_1_0
  804  0xf3772724    1     -1  THal_Vp_EnableVBILine_1_000
  809  0x623d9729    1     -1  THal_Vp_GetVideoRange_1_000
  832  0x8b109b40    1     -1  (unnamed)
  839  0x1c6ff747    1   1024  THal_Vp_Init_1_000
  840  0x8b109b48    1     -1  (unnamed)
  871  0xfd483f67    1     -1  THal_Vp_Wce_GetWindow_1_000
  882  0x7bbd5772    1     -1  THal_Vp_Wce_GetActiveWindow_1_00
  892  0x8b109f7c    1     -1  (unnamed)
  893  0xf00ca77d    1     -1  THal_Vp_SetColorManagement_1_000
  894  0x51ad877e    1     -1  Thal_Vp_SetBacklightLevel_1_000
  944  0x434567b0    1     -1  THal_Vp_GetDisplayLatency_1_000
  949  0x7335ebb5    1     -1  THal_Vp_SetSharpness_1_000
  951  0x24b17fb7    1     -1  THal_Vp_GetSignalInfo_1_000
  963  0xa84983c3    1     -1  THal_Vp_SetSaturation_1_000
  969  0x24efc7c9    1     -1  THal_Vp_GetSource_1_000
  989  0x2f02f7dd    1     -1  THal_Vp_GetImageBufferAddr_1_000
 1000  0x449effe8    1     -1  THal_Vp_HDMI_ReloadHdcp14Key_1_0
 1024  0xa4bb0747    1     -1  THal_Vp_SetTNR_1_000
 1025  0x87a96488    1     -1  THal_Vp_RegisterCallbackOfDispla

100 entries listed of 1224 slots
