# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
050003dc 0x00000000
050003e0 0x00000000
050003e4 0x00000000
050003e8 0x00000000
050003ec 0x00000000
050003f0 0x00000000
050003f4 0x00000000
050003f8 0x00000000
050003fc 0x00000000
05000400 0x04C3EF00
05000404 0x04C5EE00
05000408 0x04C7ED00
0500040c 0x04C7ED00
05000410 0x04C7ED00
05000414 0x04C7ED00
05000418 0x00000000
0500041c 0x00000000
05000420 0x00000000
05000424 0x00000000
05000428 0x00000000
0500042c 0x00000000
05000430 0x00000000
05000434 0x802D002D
05000438 0x600200F0
0500043c 0x00000000
05000440 0x00002301
05000444 0x02D00500
05000448 0x00084480
0500044c 0x00000000
05000450 0x00000000
05000454 0x00000000
05000458 0xC1000000
0500045c 0x00000000
05000460 0x00000000
05000464 0x00000000
05000468 0x00000003
0500046c 0x006F81C1
05000470 0x00000C03
05000474 0x00000000
05000478 0x00000000
0500047c 0x00000000
05000480 0x00000000
05000484 0x00000000
05000488 0x00000000
0500048c 0x00000000
05000490 0x00000000
05000494 0x00000000
05000498 0x00000000
0500049c 0x00000000
050004a0 0x00000000
050004a4 0x00000000
050004a8 0x00000000
050004ac 0x00000000
050004b0 0x00000000
050004b4 0x00000000
050004b8 0x00000000
050004bc 0x00000000
050004c0 0x00000000
050004c4 0x00000000
050004c8 0x00000000
050004cc 0x00000000
050004d0 0x00000000
050004d4 0x00000000
050004d8 0x00000000
050004dc 0x00000000
050004e0 0x00000000
050004e4 0x00000000
050004e8 0x00000000
050004ec 0x00000000
050004f0 0x00000000
050004f4 0x00000000
050004f8 0x00000000
050004fc 0x00000000
05000500 0x04C9EC00
05000504 0x04CBEB00
05000508 0x04CDEA00
0500050c 0x04CDEA00
05000510 0x04CDEA00
05000514 0x04CDEA00
05000518 0x00000000
0500051c 0x00000000
05000520 0x00000000
05000524 0x00000000
05000528 0x00000000
0500052c 0x00000000
05000530 0x00000000
05000534 0x802D002D
05000538 0x600200F0
0500053c 0x00000000
05000540 0x00002301
05000544 0x02D00500
05000548 0x00084480
0500054c 0x00000000
05000550 0x00000000
05000554 0x00000000
05000558 0xC0000000
0500055c 0x00000000
05000560 0x00000000
05000564 0x00000000
05000568 0x00000003
0500056c 0x006F8100
05000570 0x00000C03
05000574 0x00000000
05000578 0x00000000
0500057c 0x00000000
05000580 0x00000000
05000584 0x00000000
05000588 0x00000000
0500058c 0x00000000
05000590 0x00000000
05000594 0x00000000
05000598 0x00000000
0500059c 0x00000000
050005a0 0x00000000
050005a4 0x00000000
050005a8 0x00000000
050005ac 0x00000000
